"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close578\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close579\AtomsIcon2019Close579.jsx", "JavaScript JSX", 0, 0, 24, 4, 3, 31
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close579\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close62\AtomsIcon2019Close62.jsx", "JavaScript JSX", 0, 0, 31, 4, 3, 38
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close62\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close68\AtomsIcon2019Close68.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close68\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close702\AtomsIcon2019Close702.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close702\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close71\AtomsIcon2019Close71.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close71\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close94\AtomsIcon2019Close94.jsx", "JavaScript JSX", 0, 0, 23, 4, 4, 31
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close94\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Menu1\AtomsIcon2019Menu1.jsx", "JavaScript JSX", 0, 0, 17, 4, 3, 24
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Menu1\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox1\Checkbox1.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox1\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox\Checkbox.jsx", "JavaScript JSX", 0, 0, 26, 4, 4, 34
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click2\Click2.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click2\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click3\Click3.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click3\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click4\Click4.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click4\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click5\Click5.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click5\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click6\Click6.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click6\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click7\Click7.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click7\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click8\Click8.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click8\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click9\Click9.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click9\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click\Click.jsx", "JavaScript JSX", 0, 0, 91, 4, 3, 98
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape1\CombinedShape1.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape1\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape\CombinedShape.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\CombinedShape\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Icon3\Icon3.jsx", "JavaScript JSX", 0, 0, 15, 4, 3, 22
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Icon3\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCheckmarkAlt\IconCheckmarkAlt.jsx", "JavaScript JSX", 0, 0, 26, 4, 3, 33
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCheckmarkAlt\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconClose50\IconClose50.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconClose50\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose19\IconCtaCaretClose19.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose19\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose27\IconCtaCaretClose27.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretClose27\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretOpen\IconCtaCaretOpen.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconCtaCaretOpen\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconDownload\IconDownload.jsx", "JavaScript JSX", 0, 0, 20, 4, 3, 27
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconDownload\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconExport\IconExport.jsx", "JavaScript JSX", 0, 0, 24, 4, 3, 31
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconExport\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilledCursor1\IconFilledCursor1.jsx", "JavaScript JSX", 0, 0, 65, 4, 3, 72
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilledCursor1\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterClear\IconFilterClear.jsx", "JavaScript JSX", 0, 0, 26, 4, 3, 33
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterClear\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterOff\IconFilterOff.jsx", "JavaScript JSX", 0, 0, 26, 4, 3, 33
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilterOff\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilter\IconFilter.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconFilter\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo3\IconInfo3.jsx", "JavaScript JSX", 0, 0, 23, 4, 3, 30
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo3\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo\IconInfo.jsx", "JavaScript JSX", 0, 0, 23, 4, 3, 30
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconInfo\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconMinusLarge\IconMinusLarge.jsx", "JavaScript JSX", 0, 0, 15, 4, 3, 22
